User_ID,Nickname,Data,Inicio,Duracao,Views,Likes,URL
42973126,Cerol,06/05/2021,20:35:14,8:36:39,644412,450,https://booyah.live/vods/13918649953452219904
42973126,Cerol,06/05/2021,00:52:54,3:35:37,623611,567,https://booyah.live/vods/13918040577561773568
42973126,Cerol,05/05/2021,20:24:38,4:26:05,452177,201,https://booyah.live/vods/13917902323025643008
42973126,Cerol,04/05/2021,20:02:10,8:55:17,698337,639,https://booyah.live/vods/13917148571599322624
42973126,Cerol,03/05/2021,19:46:10,9:13:04,674870,1047,https://booyah.live/vods/13916398158135000576
42973126,Cerol,01/05/2021,18:31:51,3:35:45,183882,517,https://booyah.live/vods/13914875513702499584
42973126,Cerol,29/04/2021,20:48:23,5:32:59,528959,1424,https://booyah.live/vods/13913461543838143744
42973126,Cerol,29/04/2021,02:46:06,2:54:56,101195,998,https://booyah.live/vods/13912903741184740608
42973126,Cerol,28/04/2021,20:03:02,6:38:52,668655,533,https://booyah.live/vods/13912695995629622528
42973126,Cerol,27/04/2021,19:48:11,10:00:03,958248,856,https://booyah.live/vods/13911946171825794304
42973126,Cerol,26/04/2021,19:31:56,10:26:33,1079959,916,https://booyah.live/vods/13911195630048998656
42973126,Cerol,24/04/2021,19:44:22,3:35:33,169357,694,https://booyah.live/vods/13909717698172087552
42973126,Cerol,22/04/2021,20:20:55,7:56:04,552240,931,https://booyah.live/vods/13908252192902495488
42973126,Cerol,21/04/2021,20:22:36,5:08:52,542766,1216,https://booyah.live/vods/13907510894264352000
42973126,Cerol,20/04/2021,20:23:37,8:11:15,490613,739,https://booyah.live/vods/13906769243724553472
42973126,Cerol,19/04/2021,20:12:10,8:09:52,531550,726,https://booyah.live/vods/13906021169725189376
42973126,Cerol,17/04/2021,18:39:50,3:25:51,269642,919,https://booyah.live/vods/13904489243969205504
42973126,Cerol,16/04/2021,20:40:57,7:52:37,648993,762,https://booyah.live/vods/13903809494418640128
42973126,Cerol,15/04/2021,20:09:52,8:46:25,653905,654,https://booyah.live/vods/13903051303220960512
42973126,Cerol,14/04/2021,20:12:18,8:40:12,694913,597,https://booyah.live/vods/13902310390945148160
